run_id,scene,method,iteration,psnr,ssim,lpips,test_count,run_dir
scene_raw,scene,uniform VGGT raw,ours_10000,20.728656768798828,0.7540476322174072,0.24675793945789337,,/home/dhr/cv_final/data/scene/gs_official_raw/runs/20260627_135803_gaussian_official
scene_ba,scene,uniform custom BA,ours_10000,22.471378326416016,0.8201104402542114,0.19723525643348694,,/home/dhr/cv_final/data/scene/gs_official_ba/runs/20260627_133737_gaussian_official
scene_random_raw,scene,"uniform raw cameras, random init",ours_10000,20.3172607421875,0.7420286536216736,0.2643525004386902,,/home/dhr/cv_final/data/scene/gs_official_random_raw/runs/20260627_141252_gaussian_official
scene_random_ba,scene,"uniform BA cameras, random init",ours_10000,21.983383178710938,0.806120753288269,0.21539026498794556,,/home/dhr/cv_final/data/scene/gs_official_random_ba/runs/20260627_140637_gaussian_official
human1_ba_hq_masked,1-human,"HQ tracks, mask-white",ours_10000,26.43545150756836,0.9589553475379944,0.030644439160823822,8,/home/dhr/cv_final/data/1-human/gs_official_ba_hq_masked/runs/20260629_084243_gaussian_official
human2_ba_hq_masked,2-human,"HQ tracks, mask-white",ours_10000,28.62352180480957,0.9675890207290649,0.024166611954569817,8,/home/dhr/cv_final/data/2-human/gs_official_ba_hq_masked/runs/20260629_085004_gaussian_official
scene32_raw_hq,scene_32,32-frame raw negative result,ours_10000,18.23314094543457,0.6775937676429749,0.3173222541809082,8,/home/dhr/cv_final/data/scene_32/gs_official_raw_hq_768/runs/20260629_092440_gaussian_official
scene32_ba_hq,scene_32,32-frame BA negative result,ours_10000,19.740013122558594,0.7500761151313782,0.2647026777267456,8,/home/dhr/cv_final/data/scene_32/gs_official_ba_hq_768/runs/20260629_092117_gaussian_official
selected_dense_depth_only,scene_selected,selected dense depth only,ours_10000,24.834430694580078,0.8589561581611633,0.1411743462085724,8,/home/dhr/cv_final/data/scene_selected/gs_official_dense_depth_only/runs/20260629_152539_gaussian_official
selected_dense_pointmap_only,scene_selected,selected dense point map only,ours_10000,24.913990020751953,0.8590216040611267,0.14094088971614838,8,/home/dhr/cv_final/data/scene_selected/gs_official_dense_pointmap_only/runs/20260629_152909_gaussian_official
selected_dense_disagreement_only,scene_selected,selected dense disagreement filter,ours_10000,24.952571868896484,0.8603889346122742,0.1391817033290863,8,/home/dhr/cv_final/data/scene_selected/gs_official_dense_disagreement_only/runs/20260629_153239_gaussian_official
selected_dense_reprojection_only,scene_selected,selected dense reprojection filter,ours_10000,24.92005157470703,0.8598306179046631,0.1407325267791748,8,/home/dhr/cv_final/data/scene_selected/gs_official_dense_reprojection_only/runs/20260629_153608_gaussian_official
selected_dense_filtered_full,scene_selected,selected dense full filter,ours_10000,24.903430938720703,0.8597209453582764,0.14085577428340912,8,/home/dhr/cv_final/data/scene_selected/gs_official_dense_filtered_full/runs/20260629_152158_gaussian_official
